Tarih;TP BRENTPETROL EUBP;TP SANAYREV11 Y1;TP SANAYREV11 Y1-1;TP SANAYREV11 Y1-2;TP KTF18;TP KTFTUK01;TP KREDI L001;M1_Düzey;M2_düzey;TP FG J0;TP FG B01 95;TP GY1 N2;TP KKO2 IS TOP;Ýmalat Sanayi Kapasite Kullaným Oraný - Düzey;1.M1 - Düzey;2.M2 - Düzey;Ticari Krediler (TL Üzerinden Açýlan)(Tüzel Kiþi KMH ve Kurumsal Kredi Kartlarý Hariç)(Akým Veri,%) - Düzey;Tüketici Kredisi (KMH Dahil)(TL Üzerinden Açýlan)(Ýhtiyaç+Taþýt+Konut)(Akým Veri,%) - Düzey;0.GENEL (Tüketici) - Düzey;Genel Endeks (ÝTO 1995=100) - Düzey;Avrupa Brent Petrol Spot FOB Fiyatý (Varil Baþýna Dolar) - Düzey;I.TOPLAM KREDÝ HACMÝ(Bin TL) - Düzey;Reel Kesim Güven Endeksi - Düzey;Toplam sanayi - Düzey;Toplam sanayi - Yüzde Deðiþim;Toplam sanayi - Fark
2017-07;51,99;110,94;-0,20;-0,22;15,95;18,28;1.889.598.561,00;418.346.813,00;1.522.315.696,00;310,24;15.833,50;109,50;78,70;;;;;;;;;;;;;
2017-08;52,69;114,41;3,13;3,48;15,00;18,46;1.907.050.996,00;434.543.349,00;1.544.897.146,00;311,85;15.837,20;110,70;78,80;;;;;;;;;;;;;
2017-09;57,02;115,83;1,24;1,42;15,50;19,19;1.942.097.283,00;434.338.406,00;1.563.134.203,00;313,88;15.984,50;111,60;79,00;;;;;;;;;;;;;
2017-10;61,35;116,32;0,42;0,49;15,37;19,19;1.994.701.841,00;433.323.091,00;1.610.022.776,00;320,40;16.295,10;109,50;79,70;;;;;;;;;;;;;
2017-11;63,53;117,04;0,62;0,72;15,41;19,27;2.035.851.643,00;433.286.493,00;1.627.300.950,00;325,18;16.489,50;106,30;79,90;;;;;;;;;;;;;
2017-12;66,73;120,10;2,61;3,05;16,18;19,77;2.045.329.483,00;450.624.493,00;1.628.023.132,00;327,41;16.596,40;103,30;79,00;;;;;;;;;;;;;
2018-01;67,78;117,81;-1,91;-2,29;16,23;20,63;2.061.105.286,00;428.975.092,00;1.617.630.665,00;330,75;16.740,70;108,30;78,20;;;;;;;;;;;;;
2018-02;66,08;117,04;-0,65;-0,77;16,77;20,72;2.072.257.122,00;435.544.809,00;1.633.682.306,00;333,17;16.852,50;110,80;77,80;;;;;;;;;;;;;
2018-03;69,02;117,10;0,06;0,07;16,70;20,44;2.133.194.675,00;450.940.776,00;1.678.040.812,00;336,48;17.070,30;111,90;77,80;;;;;;;;;;;;;
2018-04;75,92;118,55;1,23;1,44;16,37;20,65;2.177.566.546,00;458.684.151,00;1.712.468.513,00;342,78;17.354,30;111,20;77,30;;;;;;;;;;;;;
2018-05;76,45;116,79;-1,48;-1,76;17,18;20,53;2.297.403.454,00;491.900.410,00;1.787.144.026,00;348,34;17.499,70;109,90;77,90;;;;;;;;;;;;;
2018-06;77,44;113,48;-2,84;-3,31;22,27;20,97;2.283.353.775,00;514.853.102,00;1.807.860.689,00;357,44;17.722,00;104,60;78,30;;;;;;;;;;;;;
2018-07;74,16;116,23;2,42;2,75;23,17;23,34;2.335.678.865,00;514.433.406,00;1.870.996.641,00;359,41;17.813,40;102,70;77,10;;;;;;;;;;;;;
2018-08;76,94;115,88;-0,30;-0,35;29,41;26,82;2.587.738.180,00;592.102.872,00;2.099.272.197,00;367,66;18.211,00;96,40;77,80;;;;;;;;;;;;;
2018-09;82,72;112,20;-3,18;-3,68;36,99;30,06;2.488.466.043,00;558.571.090,00;2.020.764.883,00;390,84;18.947,30;89,60;76,20;;;;;;;;;;;;;
2018-10;74,84;109,89;-2,06;-2,31;34,86;31,82;2.390.577.421,00;518.147.997,00;1.956.073.358,00;401,27;19.605,00;87,60;75,40;;;;;;;;;;;;;
2018-11;57,71;109,70;-0,17;-0,19;30,03;32,29;2.298.625.159,00;490.138.817,00;1.899.242.192,00;395,48;19.558,00;92,80;74,10;;;;;;;;;;;;;
2018-12;50,57;107,90;-1,64;-1,79;28,18;31,64;2.304.027.778,00;509.676.296,00;1.938.998.976,00;393,88;19.530,90;91,50;74,10;;;;;;;;;;;;;
2019-01;62,46;109,77;1,73;1,87;25,80;30,49;2.282.714.354,00;504.511.225,00;1.950.687.708,00;398,07;19.753,80;93,00;74,40;;;;;;;;;;;;;
2019-02;65,03;111,04;1,15;1,26;22,46;28,19;2.308.867.005,00;522.612.790,00;1.984.646.947,00;398,71;19.948,10;97,20;74,00;;;;;;;;;;;;;
2019-03;67,93;114,37;3,00;3,33;22,18;25,11;2.417.936.334,00;575.769.866,00;2.090.276.096,00;402,81;20.098,20;102,10;74,30;;;;;;;;;;;;;
2019-04;72,19;113,73;-0,56;-0,64;24,04;26,35;2.456.107.718,00;571.720.029,00;2.151.020.045,00;409,63;20.662,80;105,50;75,00;;;;;;;;;;;;;
2019-05;66,78;114,67;0,83;0,95;26,47;28,40;2.459.622.687,00;612.655.202,00;2.165.907.128,00;413,52;20.872,80;98,90;76,30;;;;;;;;;;;;;
2019-06;67,52;109,76;-4,29;-4,91;27,44;28,82;2.447.479.186,00;610.650.374,00;2.159.862.130,00;413,63;20.668,10;102,50;77,10;;;;;;;;;;;;;
2019-07;64,07;114,85;4,63;5,09;23,57;26,91;2.424.218.503,00;601.546.661,00;2.152.836.961,00;419,24;20.677,10;98,30;76,20;;;;;;;;;;;;;
2019-08;61,04;111,64;-2,79;-3,20;18,72;23,02;2.447.586.876,00;642.553.974,00;2.254.518.412,00;422,84;21.199,40;102,50;76,60;;;;;;;;;;;;;
2019-09;60,99;115,83;3,75;4,18;17,23;20,34;2.447.373.465,00;651.755.512,00;2.259.287.516,00;427,04;21.435,30;98,80;76,30;;;;;;;;;;;;;
2019-10;59,30;114,30;-1,32;-1,53;15,27;18,10;2.473.115.968,00;664.436.658,00;2.313.425.349,00;435,59;21.816,80;100,90;76,40;;;;;;;;;;;;;
2019-11;64,50;115,03;0,64;0,73;13,23;17,38;2.501.534.597,00;677.004.431,00;2.343.648.606,00;437,25;21.914,70;102,00;77,20;;;;;;;;;;;;;
2019-12;67,77;117,34;2,01;2,31;12,70;16,66;2.564.868.622,00;718.817.626,00;2.445.447.858,00;440,50;22.149,30;103,60;77,00;;;;;;;;;;;;;
2020-01;57,77;117,02;-0,27;-0,32;11,22;15,45;2.595.585.732,00;734.656.333,00;2.469.235.642,00;446,45;22.278,10;104,10;75,50;;;;;;;;;;;;;
2020-02;51,31;120,07;2,60;3,05;10,65;14,75;2.671.319.794,00;789.681.322,00;2.556.911.596,00;448,02;22.530,40;106,90;76,00;;;;;;;;;;;;;
2020-03;14,85;112,69;-6,14;-7,37;11,27;15,07;2.768.395.332,00;857.402.770,00;2.681.493.623,00;450,58;22.604,20;99,70;75,30;;;;;;;;;;;;;
2020-04;18,11;79,63;-29,34;-33,07;10,40;12,89;2.998.580.516,00;1.001.176.352,00;2.910.666.523,00;454,43;22.838,60;66,80;61,60;;;;;;;;;;;;;
2020-05;34,15;94,53;18,72;14,90;9,17;11,88;3.052.801.812,00;1.052.167.822,00;2.918.865.211,00;460,62;23.332,70;76,90;62,60;;;;;;;;;;;;;
2020-06;41,64;109,42;15,75;14,89;9,21;12,11;3.141.042.957,00;1.108.193.635,00;3.001.226.936,00;465,84;23.348,30;92,60;66,00;;;;;;;;;;;;;
2020-07;43,13;121,41;10,96;12,00;9,46;11,81;3.264.349.098,00;1.196.695.894,00;3.141.593.256,00;468,56;23.450,10;100,70;70,70;;;;;;;;;;;;;
2020-08;45,22;123,24;1,50;1,82;12,30;14,70;3.359.054.242,00;1.209.574.748,00;3.196.795.800,00;472,61;23.589,10;106,20;73,30;;;;;;;;;;;;;
2020-09;40,30;125,86;2,13;2,62;13,97;16,84;3.406.806.054,00;1.239.060.931,00;3.273.110.992,00;477,21;23.934,80;105,30;74,60;;;;;;;;;;;;;
2020-10;36,33;126,06;0,16;0,21;15,13;17,52;3.532.144.817,00;1.287.398.590,00;3.414.449.433,00;487,38;24.521,40;108,10;75,40;;;;;;;;;;;;;
2020-11;46,84;127,68;1,29;1,62;17,02;18,48;3.506.541.172,00;1.234.759.189,00;3.314.555.345,00;498,58;24.997,10;103,90;75,80;;;;;;;;;;;;;
2020-12;51,22;128,55;0,68;0,86;18,77;20,66;3.470.055.835,00;1.219.207.540,00;3.326.512.024,00;504,81;25.337,70;106,80;75,60;;;;;;;;;;;;;
2021-01;55,25;130,30;1,36;1,75;19,76;21,91;3.445.966.108,00;1.191.279.524,00;3.306.057.972,00;513,30;25.632,00;107,00;75,40;;;;;;;;;;;;;
2021-02;65,86;134,89;3,52;4,59;19,15;22,66;3.485.653.885,00;1.189.145.526,00;3.326.645.026,00;517,96;26.012,00;109,30;74,90;;;;;;;;;;;;;
2021-03;63,52;131,48;-2,53;-3,42;19,78;22,99;3.605.919.171,00;1.249.799.033,00;3.519.147.499,00;523,53;26.305,10;110,80;74,70;;;;;;;;;;;;;
2021-04;67,73;130,84;-0,48;-0,63;20,63;23,89;3.687.597.976,00;1.276.624.503,00;3.574.864.016,00;532,32;26.570,70;111,00;75,90;;;;;;;;;;;;;
2021-05;69,36;133,24;1,83;2,40;20,90;24,06;3.715.784.766,00;1.335.440.985,00;3.676.730.667,00;537,05;27.015,40;110,30;75,30;;;;;;;;;;;;;
2021-06;76,94;135,04;1,35;1,79;20,77;23,74;3.768.865.877,00;1.384.256.091,00;3.763.771.681,00;547,48;27.113,10;113,00;76,60;;;;;;;;;;;;;
2021-07;77,72;132,92;-1,56;-2,11;20,16;23,87;3.752.176.711,00;1.404.977.943,00;3.804.781.569,00;557,36;27.525,90;114,80;76,70;;;;;;;;;;;;;
2021-08;73,45;139,89;5,24;6,96;20,56;23,67;3.783.863.534,00;1.396.749.952,00;3.815.142.498,00;563,60;28.044,30;113,90;77,10;;;;;;;;;;;;;
2021-09;77,81;137,56;-1,66;-2,33;20,50;23,83;3.884.280.824,00;1.464.391.168,00;3.993.750.060,00;570,66;28.667,70;113,40;78,10;;;;;;;;;;;;;
2021-10;83,10;138,33;0,56;0,77;19,55;23,80;4.039.441.513,00;1.572.984.951,00;4.239.266.828,00;584,32;29.611,70;109,60;78,00;;;;;;;;;;;;;
2021-11;70,86;143,19;3,52;4,87;18,39;23,51;4.484.955.758,00;1.969.179.936,00;5.021.717.951,00;604,84;31.007,80;108,40;78,10;;;;;;;;;;;;;
2021-12;77,24;144,80;1,12;1,61;21,38;23,97;4.721.345.123,00;2.111.942.760,00;5.108.132.702,00;686,95;33.998,80;106,10;78,70;;;;;;;;;;;;;
2022-01;92,35;141,25;-2,45;-3,55;24,38;26,32;4.794.119.759,00;2.071.625.962,00;5.140.228.239,00;763,23;38.682,30;109,50;77,60;;;;;;;;;;;;;
2022-02;103,08;149,45;5,80;8,19;21,16;25,80;5.005.406.638,00;2.105.918.912,00;5.308.036.475,00;799,93;40.401,40;109,80;76,60;;;;;;;;;;;;;
2022-03;107,29;144,79;-3,12;-4,66;20,39;25,39;5.268.245.842,00;2.270.719.959,00;5.699.858.632,00;843,64;42.942,30;108,50;77,30;;;;;;;;;;;;;
2022-04;108,36;145,92;0,78;1,13;20,62;24,86;5.451.029.219,00;2.372.463.176,00;5.895.872.508,00;904,79;47.819,90;109,70;77,80;;;;;;;;;;;;;
2022-05;125,53;145,86;-0,04;-0,06;22,80;25,49;5.843.425.481,00;2.528.833.226,00;6.277.459.612,00;931,76;50.612,30;109,40;78,00;;;;;;;;;;;;;
2022-06;119,78;147,91;1,41;2,05;26,21;26,05;6.134.308.816,00;2.556.449.704,00;6.428.508.832,00;977,90;52.651,30;106,40;77,60;;;;;;;;;;;;;
2022-07;111,51;137,87;-6,79;-10,04;30,05;28,01;6.235.823.918,00;2.731.930.334,00;6.958.505.889,00;1.001,03;54.805,70;103,70;78,20;;;;;;;;;;;;;
2022-08;96,55;142,32;3,23;4,45;25,67;28,23;6.371.952.753,00;2.757.584.876,00;7.231.185.430,00;1.015,65;56.063,30;102,10;76,70;;;;;;;;;;;;;
2022-09;88,90;139,92;-1,69;-2,41;20,56;27,46;6.570.749.849,00;2.841.354.575,00;7.475.494.815,00;1.046,89;59.462,20;99,90;77,40;;;;;;;;;;;;;
2022-10;93,30;143,48;2,55;3,56;18,31;26,53;6.751.925.512,00;2.927.907.783,00;7.735.052.757,00;1.084,00;61.819,60;100,30;76,90;;;;;;;;;;;;;
2022-11;85,61;142,56;-0,64;-0,92;16,08;25,73;6.953.699.570,00;2.958.792.610,00;7.871.318.084,00;1.115,26;63.736,20;97,90;75,90;;;;;;;;;;;;;
2022-12;82,82;144,13;1,10;1,57;14,04;24,89;7.285.133.891,00;3.116.244.497,00;8.209.273.693,00;1.128,45;65.608,60;97,80;76,50;;;;;;;;;;;;;
2023-01;83,42;146,79;1,84;2,65;13,68;24,34;7.507.980.929,00;3.189.326.800,00;8.427.505.053,00;1.203,48;69.503,00;101,70;75,30;;;;;;;;;;;;;
2023-02;83,21;137,99;-5,99;-8,80;13,61;23,73;7.711.269.243,00;3.261.261.086,00;8.650.527.989,00;1.241,33;72.167,00;102,40;75,20;;;;;;;;;;;;;
